Asset Type,Method,Precision,Recall,F1 Score,Anomaly Rate (%)
transformer,Isolation Forest,0.6,0.7894736842105263,0.6818181818181819,5.0
transformer,LSTM Autoencoder,0.12608695652173912,0.7631578947368421,0.21641791044776118,23.0
motor,Isolation Forest,0.64,0.38095238095238093,0.4776119402985074,5.0
motor,LSTM Autoencoder,0.1457286432160804,0.34523809523809523,0.2049469964664311,19.900000000000002
capacitor,Isolation Forest,0.48,0.7741935483870968,0.5925925925925926,5.0
capacitor,LSTM Autoencoder,0.24299065420560748,0.8387096774193549,0.37681159420289856,10.7
ups,Isolation Forest,0.42,0.35,0.3818181818181818,5.0
ups,LSTM Autoencoder,0.125,0.43333333333333335,0.19402985074626866,20.8
